client_first_name,client_second_name,client_last_name,sex_pl,sex_eng,sex_shortcut_pl,sex_shortcut_eng,client_age,client_business_key
Marek,Miłosz,Marcinkiewicz,Mężczyzna,Male,M,M,48,MM040104048M
Kornel,,Mołdrzyk,Mężczyzna,Male,M,M,51,KM048064051M
Emilian,,Skrok,Mężczyzna,Male,M,M,51,ES056040051M
Dobromił,,Siudek,Mężczyzna,Male,M,M,81,DS064048081M
Jan,Arkadiusz,Hrycyk,Mężczyzna,Male,M,M,18,JH024048018M
Ludwik,,Waśkowicz,Mężczyzna,Male,M,M,20,LW048072020M
Michał,,Hejmo,Mężczyzna,Male,M,M,28,MH048040028M
Teofil,,Rusek,Mężczyzna,Male,M,M,31,TR048040031M
Ida,,Słomka,Kobieta,Female,K,F,63,IS024048063K
Edyta,,Bieniasz,Kobieta,Female,K,F,74,EB040064074K
Anastazja,,Knothe,Kobieta,Female,K,F,52,AK072048052K
Ewa,Joanna,Rubinowicz,Kobieta,Female,K,F,27,ER024080027K
