consultant_first_name,consultant_second_name,consultant_last_name,manager_key,consultant_business_key
Małgorzata,Hernik,Lena,4,MH080048004E
Fabian,Adamiec,,4,FA048056004E
Marina,Kuźniar,Leokadia,4,MK048056004E
Aaron,Pakosz,,4,AP040048004E
Marcin,Chodura,,4,MC048056004E
Lila,Kozubek,,4,LK032056004E
Tytus,Kurcz,,4,TK040040004E
Filomena,Palowicz,,4,FP064064004E
Antonina,Koziej,,4,AK064048004E
Jędrzej,Niewiarow,,4,JN056072004E
Alfred,Gąsienica,,4,AG048072004E
Anastazja,Frąckiewicz,,4,AF072088004E
Helen,Bieniasz,,4,HB040064004E
Jeremi,Drewnowicz,Ireneusz,4,JD048080004E
